Language	Voice type	Language code	Voice name	SSML Gender
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Achernar	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Achird	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Algenib	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Algieba	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Alnilam	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Aoede	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Autonoe	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Callirrhoe	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Charon	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Despina	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Enceladus	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Erinome	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Fenrir	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Gacrux	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Iapetus	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Kore	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Laomedeia	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Leda	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Orus	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Puck	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Pulcherrima	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Rasalgethi	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Sadachbia	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Sadaltager	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Schedar	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Sulafat	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Umbriel	MALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Vindemiatrix	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Zephyr	FEMALE
af-ZA	Premium	af-ZA	af-ZA-Chirp3-HD-Zubenelgenubi	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Achernar	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Achird	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Algenib	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Algieba	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Alnilam	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Aoede	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Autonoe	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Callirrhoe	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Charon	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Despina	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Enceladus	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Erinome	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Fenrir	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Gacrux	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Iapetus	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Kore	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Laomedeia	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Leda	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Orus	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Puck	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Pulcherrima	FEMALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Rasalgethi	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Sadachbia	MALE
ar-XA	Premium	ar-XA	ar-XA-Chirp3-HD-Sadaltager	MALE
